,Rank,Top 100,Trend,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,School Type
10,11,,,Logan Tanner,C,21.7,"6' 1""",218,R,R,Mississippi State,,45,High,"Tanner has rare power for a catcher, and he's performed on paper in parts of two seasons in the SEC, including 15 homers in 2021. He tends to spray good velocity to the opposite field and crush hanging breaking balls to his pull-side. He's strong enough to put balls out in either direction, and has a big, physical, prototypical catcher's frame. Defensively, Tanner is a below-average receiver with a 40 arm (it was better early in the 2021 college season) but he's a gung-ho ball blocker and field general. He has starting catcher offensive ability but needs a little more defensive polish than most first round college catching prospects",,4-Year
11,12,,,Kumar Rocker,SP,22.6,"6' 5""",250,R,R,Vanderbilt,,45,High,"Rocker looked like a first rounder for much of his high school career, but his stuff dipped as the 2018 draft approached while his asking price did not, so teams backed away and Rocker went to Vanderbilt. After some rocky starts early during his freshman year, something clicked for Rocker and he was utterly dominant from mid-April through June, culminating in a 19-strikeout no-hitter in a postseason game against Duke. That outing, and Vanderbilt's run to a national title, made Rocker a household name even among casual baseball fans. He made just three starts (and had some command issues) as a sophomore before COVID-19 ended the season. Then Rocker came out in 2021 in what looked like the best shape he'd ever been in, and with a slightly higher release point. He was fantastic early on, but his stuff slipped as the spring progressed (Rocker's fastball averaged 95 in February, 93 in June). His overall performance at Vanderbilt -- 236 IP, 321 K, 39 BB, 2.89 ERA against mostly SEC copetition -- was incredible, especially when viewed in light of his stuff's inconsistent quality. Those fluctuations became inextricable from Rocker's pre-draft profile, though. It meant most teams thought he fell behind similarly-talented, but safer-feeling prospects in the 2021 draft rather than being clearly in the top tier, but Rocker still fell a little further than expected on draft night, going 10th overall to the Mets. New York, whose rest-of-draft behavior indicated they had come to an overslot agreement with Rocker, was scared enough of Rocker's post-draft physical to squash his deal. It means Rocker will be draft-eligible again in 2022, though he won't be returning to Vanderbilt",ondemand_video,4-Year
12,13,,,Dylan Lesko,SP,18.8,"6' 3""",195,R,R,Buford HS (GA),Vanderbilt,45,High,"The huge-framed Lesko has premium arm strength and a dynamic changeup. Right now, he looks like peak Chris Paddack, sitting in the mid-90s with bat-missing hop, and a cambio with plus-plus fade and tail. Also like Paddack, Lesko lacks consistent breaking ball feel and finish, with his best curveballs flashing average. Lesko's stuff is neck-and-neck with typical, top-of-the-class prep arms, but the industry's fear around those arms, and its resolve that Lesko's biggest weakness (breaking ball sharpness) is difficult to teach, may slide him outside the top 10 picks",,High School
13,14,,,Jacob Berry,1B,21.2,"6' 0""",212,S,R,LSU,,45,Med,"Berry turned down seven figures coming out of high school and went to Arizona, where he raked as a freshman DH for a Wildcats team that made a deep postseason run. When LSU hired Jay Johnson away from Arizona, Berry was one of several players who transferred out of Tucson, following Johnson to Baton Rouge. He'll be a draft-eligible sophomore in 2022. Berry has plus bat speed and raw power, with an uppercut bat path from both sides of the plate. His barrel can drag into the zone at times, leaving him late on velocity on the outer third, but Berry can punish everything on the inner half of the plate with power. He still doesn't have a clear position, with first, second, and third base all in the theoretical mix, whichever is the most valuable position at which Berry can be passable. A stiff-legged athlete, he's in the 1B/DH range for us. Tucson is a hitter's haven, but if Berry even comes close to his 2021 production level against SEC pitching, he'll go early in the first round",,4-Year
14,15,,,Carson Whisenhunt,SP,21.7,"6' 4""",209,L,L,East Carolina,,45,Low,"Whisenhunt is a lefty with plus command of a plus-plus changeup, so while his stuff is otherwise very medium, he's a high-probability starting pitching prospect likely to race through the minor leagues. Whisenhunt's fastball has sneaky utility at the letters even though it isn't all that hard, in part because Whisenhunt is a great athlete who gets so far down the mound that his fastball ends up having very shallow angle. His athleticism and modestly projectable frame create hope for more velo, but it's not a given. To ballpark Whisenhunt's draft stock, the apples-to-apples comp here is 2021 21st overall pick Jordan Wicks, another lefty with a great changeup, command, and a trait-reliant fastball",,4-Year
15,16,,,Cole Young,SS,19.0,"6' 0""",180,L,R,North Allegheny HS (PA),Duke,45,Low,"Young is the the most polished infield defender of the high school group, a no-doubt shortstop with plus hands and actions. He also has terrific bat control and hand-eye coordination. While gifted in relevant ways, Young has middling physical projection, and will be 19 on draft day. He's a high-probability big leaguer whose feel for contact will need to carry him to an everyday role since he's unlikely to ever have impact power. If he falls short of that, he'll still be a valuable utility man",,High School
16,17,,,Jackson Holliday,SS,18.6,"6' 1""",180,L,R,Stillwater HS (OK),Oklahoma State,45,Med,"Holliday is one of the better rotational athletes in this draft, and he has one of the loosest, most beautiful swings in this class. He takes a big (but balanced) stride and can adjust barrel depth by getting deeper into his lower half through contact. He also has a good foundational feel for contact, and actually put balls in play at a better rate than Mikey Romero did during showcase play. Holliday's range, hands, actions and arm are all average, while his baseball instincts and internal clock are very good. He doesn't have the overt physical projection of some of the other prep shortstops in this class (Romero, Flores) but he is the best athlete among them, and if we're looking at his parentage for indication (Matt Holliday), there will be strength eventually",,High School
17,18,,,Brandon Sproat,SP,21.8,"6' 2""",175,R,R,Florida,,45,High,"Sproat was scouted by a cross section of pro and amateur personnel during his 2020 season in the Texas Collegiate League, a COVID-born pop-up amateur league that played in old Texas/Southern League ballparks. Though he was wild, his arm strength and slider were plus. Sproat struggled with walks again in a 2021 relief role for the Gators, but he now has three plus pitches -- up to 99 with the fastball, plus mid-80s changeups with huge fade, long-breaking mid-80s sliders -- and might find more consistent feel for location with a shorter arm path. Because of the quality of his repertoire depth, teams may want to develop Sproat as a starter, which might require quite a bit of time as Sproat deals with a hefty innings increase. He'd move much more quickly in relief and would only need to make a grade's worth of strike-throwing progress to have a significant big league impact in that role. There's extreme variance here, but as much upside as any other pitcher in the draft",,4-Year
18,19,,,"Ian, Jr. Ritchie",SP,19.0,"6' 2""",185,R,R,Bainbridge HS (WA),UCLA,45,High,"A traditional prep pitching prospect, Ritchie has a great-looking arm action and breaking ball, a projectable frame, and consistent, low-90s velo that peaks in the 94-96 range. His gorgeous arm action portends further changeup development (his feel for locating it is already fair), and Ritchie's feel for spin gives hope for two good breaking balls. He enters his draft spring poised to come off the board in the middle third of the first round",,High School
19,20,,,Brady Neal,C,17.8,"5' 10""",180,L,R,IMG Academy (FL),LSU,45,Med,"Neal reclassified from the 2023 to the '22 class, and is simultaneously one of the youngest and most polished hitters in the group. He takes a very comfortable at-bat and tracks pitches with hawk-like skill, and his hitting posture helps him cover the whole plate and make gap-to-gap, doubles-heavy contact right now. Of compact build, Neal isn't especially projectable, so doubles power might be all he ever has. Likely to stick behind the dish -- of the prep catchers here, Neal's catching likelihood falls behind only Moore and Guzman -- a plus hit tool should be enough on its own to make Neal an everyday performer at a position with very few good hitters. Recent versions of this small-ish framed, hit-over-power profile (Austin Barnes, Garrett Stubbs, Rafael Marchan to name a few) have plateaued as backups, though",,High School
20,21,,,Blade Tidwell,SP,21.1,"6' 4""",200,R,R,Tennessee,,45,High,"A prototypical power pitcher, Tidwell has a big, broad-shouldered frame, a carrying, mid-90s fastball, and a biting slider for which he has consistent, glove-side feel. His changeup feel is much less consistent, but Tidwell will occasionally flash a plus one, and he was only a true freshman in 2021. He's on the starter/reliever line like a lot of late first/comp pick college arms but has proven he can hold his stuff over a bigger innings workload than the Sims/Horton/Prielipp grouping",,4-Year
21,22,,,Daniel Susac,C,21.2,"6' 4""",205,R,R,Arizona,,45,High,"The latest in a long line of catchin' Susacs, Daniel is a draft-eligible sophomore coming off a huge freshman season in Tucson. Like his oldest brother Andrew, he is a power-over-hit catcher whose size may impede his long-term ability to stay behind the plate. Susac is a lanky 6-foot-5, and this impacts his lateral mobility and ball-blocking, and has driven him to try to throw from his knees because it takes him a while to get out of his crouch at his size. His swing is also relatively grooved, but not so badly that he has a binary ""no"" hit tool projection. Instead, the realistic projection here is for Susac to be a passable defender with a 40 bat, which should still be sufficient for everyday duty because there's so much raw power here already, and more is likely coming. Susac still has lots of room for mass on his frame, though there may be a delicate balance between him adding strength and losing mobility such that he has to move out from behind the plate. It's much more likely for these big-framed power hitting catchers to eventually find their way into a regular role than the smaller, contact-oriented ones",,4-Year
22,23,,,Malcolm Moore,C,18.9,"6' 2""",210,L,R,McClatchy HS (CA),Stanford,45,High,"Moore has a very advanced bat for a high school player, which is exciting considering that his chances of playing a premium position (catcher) are pretty strong. It certainly needs polish, but for a high school catching prospect, Moore's receiving is fine; his arm strength is mediocre but playable. His pop times ranged from 1.97 to 2.08 during summer looks, hovering around the 2.00 second mark with mixed accuracy and lackluster carry to the bag, but several of these came after Moore picked pitches in the dirt, or had to reach way across his body to reel them in. The carrying element here is Moore's bat. His strong, fairly mature frame already generates meaningful power, and it has manifested in games because of Moore's feel to hit. He can make contact all over the zone, and is especially adept at clearing his hips, pulling his hands in, and getting the barrel to pitches on the inner half. He's got a shot to be a well-rounded, everyday catcher",,High School
23,24,,,Carter Young,SS,21.5,"6' 0""",185,S,R,Vanderbilt,,45,High,"Young was a known, toolsy high school prospect who looked incredible taking infield and BP, then struggled to hit in games. Concern about his hit tool and a strong commitment to Vanderbilt brought Young all the way from mountainous Selah, WA to Nashville, where Young has shown he's capable of tapping into the power even while swinging and missing a lot. He had 33 extra-base hits in 61 games as a sophomore in the SEC, while also playing excellent shortstop defense. Young's uppercut bat path punishes mistakes, but he's vulnerable to swing-and-miss within the zone, especially near the top. This creates some bust risk, but Young's shortstop defense gives him a sort of floor as well. Here he's projected in the Freddy Galvis, 45 FV archetype: a plus-gloved shortstop with empty power",,4-Year
24,25,,,Cam Collier,3B,17.6,"6' 1""",215,L,R,Chipola JC,Louisville,45,Med,"The son of 15-year pro Lou Collier, Cam is among the most physical high school prospects in the 2022 draft, even though he reclassified from the 2023 group and will be just 17.6 on draft day. Despite being this size at this age, which might typically cause long-term 1B/DH projection, Collier's defensive feet, hands, actions, and arm strength are all excellent, and might make him a future plus third base defender. He has fair feel to hit, and has some raw strength as a result of his prodigious size, but the quality of his contact tends to be mixed (he gets jammed a lot), and Collier's swing path really only enables him to work middle-away, toward the opposite field gap. It's important to remember Collier's age when considering these finer points of hitting. He made a suitable amount of contact during showcase play, and presents teams with a solid hit/power foundation, though definitely with less physical projection than the typical teenager. Model-driven teams that don't contextualize physical projection are the ones most likely to be players for Collier",,2-Year
25,26,,,Bryce Hubbart,SP,21.0,"6' 1""",190,R,R,Florida State,,40+,Med,"Hubbart lacks stature and a big fastball, but his velocity has slowly been trending up, his fastball plays up for other reasons, and he has a plus breaking ball and advanced command. A high-probability starter whose ceiling will be dictated by how much more velocity he develops, Hubbart will enter his draft spring in the mix toward the back of the first round",,4-Year
26,27,,,Eric Brown,SS,21.6,"5' 11""",190,R,R,Coastal Carolina,,40+,High,"Brown is one of the best athletes in the draft class, has exceptional range at shortstop, and his swing is so explosive that it makes him dangerous even though he has middling raw power. His swing is weird, though, and he has one of the more extreme bat wraps you'll ever see, made viable by Brown's extremely short levers, which help prevent his cut from being functionally long. His short levers give him mediocre plate coverage, something Brown can adjust for by altering his stride direction to match pitch location, which is harder than it sounds. His swing also has a clear hole down-and-in right now. The feel for contact, athletic explosiveness, and defensive fit put him in the mix with similar up-the-middle college players, though Brown needs to crush his smaller conference pitching to solidify top 50 draft pick status",,4-Year
27,28,,,Mikey Romero,SS,18.5,"6' 1""",175,L,R,Orange Lutheran HS (CA),LSU,40+,Med,"While not a lock to stay at shortstop due to middling range and actions, Romero has among the more advanced hit tools in the 2022 high school class, able to impact pitches all over the strike zone. Based on where hitterish middle infielders were picked in 2021, he fits toward the back of the first round",,High School
28,29,,,Walter Ford,SP,17.5,"6' 3""",195,R,R,Pace HS (FL),Alabama,40+,High,"Ford reclassified from the 2023 to the '22 class. He has an upshot, mid-90s fastball and long, lateral slider. His breaking stuff will need reshaping, but there's clear feel for spin here, and a very projectable, lanky build",,High School
29,30,,,Josh Kasevich,LF,21.5,"6' 2""",200,R,R,Oregon,,40+,Low,"Kasevich is one of the more interesting prospects in the 2022 class, a relatively unathletic defensive misfit with incredible bat-to-ball skills",,4-Year
30,31,,,Tucker Toman,2B,18.7,"6' 1""",187,S,R,Hammond HS (SC),LSU,40+,High,"Toman has huge, switch-hitting bat speed, though much more from the left than right. He had a rough stretch during the middle of his showcase summer then righted the ship in Jupiter. His contact-to-whiff ratios aren't bad over a large sample but the dramatic nature of some of the swinging and missing is a little concerning. He has 40 defensive hands and actions, but is workable at second base and should at least start there in pro ball, with left field as the fallback. There's big variance here",,High School
31,32,,,Kevin Parada,C,20.9,"6' 1""",197,R,R,Georgia Tech,,40+,High,"Parada was the rare high-profile California high schooler who left the state for college, traveling all the way to Atlanta for two years at Georgia Tech. He'll be a draft-eligible sophomore in 2022 when he's just shy of being 21, and he is coming off an incredible freshman season (.318/.379/.550) and tenure with Team USA. Parada has pull-power and decent feel for contact, able to pull pitches down and away from him while whacking pitches up and away to the opposite field. His swing path causes him to drive inside pitches into the ground most of the time, and there's a little more in-zone swing-and-miss here to truly separate him from the other college catchers in this class, but if the hit/power tools hold water, then Parada (fringe receiver, average arm) will be an everyday catcher",,4-Year
32,33,,,Gavin Guidry,SS,19.0,"6' 2""",182,R,R,Barbe HS (LA),LSU,40+,High,"Guidry's swing is really exciting, and he made more contact at showcase events than his statline would indicate, as he hit lots of balls hard right at fielders. His cut is so hellacious that he corkscrews himself into the ground at times, and even though his on-paper performance isn't indicative of his actual skill, he still projects to have a below-average hit tool. But Guidry is an athletic fit at shortstop, able to make accurate throws from all kinds of platforms. His combo of defensive fit and power potential, even with lots of strikeouts, make him an exciting, high-variance prospect",,High School
33,34,,,Zach Neto,SS,21.4,"6' 0""",190,R,R,Campbell,,40+,Med,"Neto had an incredible statistical 2021, then reinforced that performance by hitting on Cape Cod. He's a compact-framed, contact-oriented middle infielder from a smaller conference, much like Connor Norby in 2021",,4-Year
34,35,,,Gavin Kilen,2B,18.3,"5' 11""",175,L,R,Milton HS (WI),Louisville,40+,Med,"Kilen's frame and swing have a Gavin-Lux-as-an-amateur vibe. His bat path has natural lift, and makes him capable of serving backdoor breaking balls the other way, though fastballs running away from Kilen are a problem for him. His arm fits better at second base, but an average hit/power combo would play there, and that's within reach",,High School
35,36,,,Peyton Pallette,SP,21.2,"6' 1""",175,R,R,Arkansas,,40+,High,"Pallette is perhaps the best on-mound athlete among the 2022 college arms, and he has plus arm strength (sitting 92-96) and elite proclivity for spin, with his curveball bending in at a whopping 3,000 rpm. His fastball's shape does not enable it to miss bats as often as you'd like given how hard it is, and an axial change to his heater that might remedy this is easier said than done. Pallette's arm action is also fairly long, though he has good feel for location despite this, including arm-side feel for his firm, middling changeup. While he needs some polish, Pallette presents teams with an exciting foundation (present arm strength, spin talent that could aid the development of a second plus breaking ball) and traits (athleticism, body projection) that create optimism surrounding his continued development. He enters his draft spring in the mix for a top 10 pick",,4-Year
36,37,,,Henry Williams,SP,20.8,"6' 5""",200,R,R,Duke,,40+,Med,"The super-projectable Williams exhibited a velo bump during the fall, moving from the 90-91 range into the mid-90s. He has a picturesque frame and delivery, as well as a plus-flashing slider that has mostly vertical movement. WIlliams also has advanced feel for changeup location, but the offering is currently firm and lacks big movement. The frame/athletic projection here is a real separator, and gives Williams a chance to continue his upward velo trend and finish next spring as the second-best college arm in the class",,4-Year
37,38,,arrow_downward,Landon Sims,MIRP,21.5,"6' 2""",216,R,R,Mississippi State,,40+,Med,"Sims has been a high-leverage, multi-inning reliever at Mississippi State with a power fastball/slider combo. He's a candidate for the Garrett Crochet debut trajectory, though Mississippi State's starting pitching departures from 2021 will clear the way for him to prove he can start in 2022. Showing a consistent third pitch will be a big part of that, though Sims could probably be a dominant college starter with his two-pitch mix",,4-Year
38,39,,,Jud Fabian,CF,21.8,"6' 1""",180,R,L,Florida,,40+,High,"It's been somewhat trendy for a top prospect or two to skip the draft as a high school senior and early-enroll in college to reach college eligibility a year sooner, and that's what Fabian did in 2018. He had a good freshman season for a rookie in the SEC then went to the Cape and raked, which he continued to do during his COVID-shortened sophomore year. His junior year featured an exorbitant number of strikeouts, but also lots of home runs: Fabian had the second-most strikeouts in Division-I with 80 in 270 plate appearances and was eighth in homers. The strikeout issues needed to be viewed in the context of Fabian's age: this was a 20-year-old center fielder in the SEC hitting for huge power. Ultimately, there was a gap between what teams were willing to do to sign Fabian and what he thought he could get in 2022 as a junior, so he didn't sign and went back to school. He'll be one of the older hitters in the 2022 class and now needs to prove his strikeout issues can be quelled",,4-Year
39,40,,,Ryan Clifford,LF,19.0,"6' 3""",215,L,L,Pro5 Baseball Academy (NC),Vanderbilt,40+,Med,"Clifford is a big-framed LF/1B prospect who looks very athletic in the batter's box and not so much on defense. He's a good rotational athlete whose move forward in the box is big and balanced, and he has advanced feel for putting the bat on the ball. Clifford will also cut down his stride with two strikes and rely on his strength and hand-eye coordination to do damage. He's more projectable than his age would indicate, possessing room for more weight and strength on his frame, which hopefully leads to more power. This is one of the more well-rounded high school hitters in the class, he's just landlocked in the LF/1B area",,High School
40,41,,,Cayden Wallace,3B,20.9,"6' 0""",205,R,R,Arkansas,,40+,Med,"Wallace is yet another draft-eligible sophomore at a high-profile school. While he's played some third base, he doesn't have an infielder's hands and is likely to wind up in an outfield corner, where he's still gaining experience. Between his freshman season at Arkansas and on Cape Cod, Wallace hit a rock solid .281/.366/.493 but there's skepticism around his low-ball swing's ability to catch up to fastballs at the top of the zone. Even though he didn't strike out a ton, he did swing and miss at heaters in the zone a lot. He has a traditional right field profile with power and K's, and quite a bit of hit tool bust risk",,4-Year
41,42,,,Brock Porter,SP,19.1,"6' 4""",200,R,R,Orchard Lakes St. Mary's HS (MI),Clemson,40+,High,"The super loose, lanky Porter has significant physical projection even though he'll be 19 on draft day, and he has among the best present arm strength in the high school class, sitting 93-96 with explosive life in short outings. He also has a tailing, plus changeup that induces embarrassing swings from high school hitters trying to cheat to catch his fastball. While his breaking ball seems to deceive hitters out of the hand, it doesn't have consistent finish and often sails on Porter. Its shape is promising, though. Breaking ball polish will give Porter a mid-rotation starter's repertoire. He shares some mechanical similarities with Ubaldo Jiménez, especially his stride direction, and this creates some relief risk. But while his delivery is intense, it also makes it clear just how flexible and athletic Porter is, and we're more optimistic about him starting than most pitchers who exhibit this level of mechanical violence and effort",,High School
42,43,,,Parker Messick,SP,21.7,"6' 0""",235,L,L,Florida State,,40+,Med,"The stout Messick is an advanced, pitchability lefty with a plus changeup and a fastball that doesn't have true carry but feasts off its flat angle. His low arm slot and breaking ball command make his loopy slurve playable against lefty hitters. Messick's physicality probably means there's no room for more velocity here. He looks like a low-variance 45 FV in most ways, though the combination of a lack of velo and spin made us want to round Messick down into the tier below that ahead of the 2022 college season",,4-Year
43,44,,,Tristan Smith,SP,19.1,"6' 2""",200,L,L,Boiling Springs HS (SC),Clemson,40+,High,Smith is a short-levered lefty with fastball carry and a big breaking ball. His feel for release became less consistent as the 2021 summer went along,,High School
44,45,,,Christopher Paciolla,3B,18.3,"6' 2""",185,R,R,Temecula Valley HS (CA),UCLA,40+,High,"An ultra-loose rotational athlete with plus bat speed, Paciolla has at least average barrel accuracy despite how whippy his swing is. He has plus defensive hands and feet, and while his range probably isn't enough for shortstop, he projects as plus third base defender. Paciolla has less track record versus top-tier arms than others in the class, though SoCal varsity pitching is a meaningful test. There's a chance for big spring helium here",,High School
45,46,,,Hayden Dunhurst,C,21.8,"5' 11""",220,L,R,Ole Miss,,40+,High,"Of all the high-profile college backstops, Dunhurst has the best chance to stay back there, and projects as a plus defender with a plus arm. He also has better plate coverage than many of the other catchers, but is only a threat to do extra-base damage in a narrow window of the zone, up-and-in. SEC teams began to figure this out and limited Dunhurst's sophomore slugging output compared to his brief freshman season. Still, any kind of offensive competency from a catcher as good as Dunhurst is on defense should result in a sizable big league role",,4-Year
46,47,,,Cade Doughty,3B,21.3,"6' 1""",205,R,R,LSU,,40+,High,"A power-hitting infielder without an obvious defensive home, Doughty's on-paper bat-to-ball results look better than the visual evaluation of his hit tool",,4-Year
